subject,body,url,label
"Project Update","Attached is the latest update for Project Falcon. Please review before Friday and send your feedback.","",0
"Class Announcement","This is a reminder that your assignment for EECS 465 is due on Monday at midnight.","",0
"Schedule Confirmation","Please confirm your availability for next week's lab sessions so we can finalize the schedule.","",0
"Receipt for Your Purchase","Thank you for your purchase. Here is your receipt and order details for your records.","",0
"Team Lunch","We are planning a team lunch this Friday at the Union. Let us know if you can make it.","",0
"University Event","Join us for the annual engineering networking event at the KU Union Ballroom next Thursday.","",0
"Exam Review Session","A review session will be held on Thursday for the midterm exam. Bring your questions.","",0
"Login Notification","A login to your account was detected from your usual device. No action is required.","",0
"Your Subscription is Active","Your subscription has been successfully renewed for another year. Thank you for staying with us.","",0
"Lab Reservation Confirmed","Your reservation for the computer lab has been confirmed for Wednesday 2–4 PM.","",0
"Course Enrollment Successful","You have been successfully enrolled in EECS 658: Introduction to Machine Learning.","",0
"Invoice for Consulting Services","Attached is the invoice for last month's consulting services. Payment is due in 30 days.","",0
"Welcome to the Platform","Welcome to our platform! Explore your dashboard to get started and customize your profile.","",0
"Reminder: Office Hours","Office hours will be held tomorrow from 2–4 PM in Eaton Hall, room 2001.","",0
"Conference Registration Confirmed","Your registration for the IEEE student conference has been confirmed.","",0
"Parking Permit Renewal","Your campus parking permit has been renewed successfully. A new sticker will be mailed soon.","",0
"Research Group Meeting","Our research group meeting will be held on Friday to discuss progress on current projects.","",0
"Assignment Graded","Your assignment submission has been graded. Check Canvas to view your score and feedback.","",0
"Welcome Email from HR","Welcome to the company! HR has attached your onboarding schedule and documentation.","",0
"Travel Itinerary","Your flight itinerary and hotel booking details are attached for your upcoming conference trip.","",0
"Student Housing Information","This email contains information about move-in dates and housing policies for the semester.","",0
"Workshop Registration","You are registered for the Python for Data Science workshop next weekend.","",0
"Newsletter: College of Engineering","Here is this month's newsletter from the School of Engineering with updates and events.","",0
"Grade Posted for Midterm","Your grade for the midterm exam has been posted. Please check the course portal.","",0
"Zoom Link for Tomorrow's Class","Here is the Zoom link for tomorrow's remote lecture. Please log in 5 minutes early.","",0
"Scholarship Award Notification","Congratulations, you have been selected to receive a departmental scholarship for this year.","",0
"Library Book Due Soon","One or more of your checked-out library books will be due in three days. Please return or renew.","",0
"Project Presentation Schedule","The final project presentations are scheduled for next Friday. Your assigned time is 2:30 PM.","",0
"System Maintenance Notice","Our systems will be undergoing scheduled maintenance on Saturday from 1–3 AM. Some services may be unavailable.","",0
